feature_id,feature_direction,feature_decoder_before_ratio,feature_exclusivity,feature_mean_shift,rank,dataset_index,label,class_name,z_before,z_after,abs_shift,feature_sample_score,crossleak_score,crosscoder_score
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,1,31,5,dog,3.2321767807006836,2.1490795612335205,1.083097219467163,0.037139225751161575,1.695724368095398,1.5479040145874023
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,2,614,5,dog,4.103363037109375,3.07588267326355,1.0274803638458252,0.03523213416337967,0.8474944233894348,0.7453249096870422
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,3,690,3,cat,3.7970774173736572,2.769637107849121,1.0274403095245361,0.03523075953125954,1.0990335941314697,0.9809154868125916
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,4,110,4,deer,2.627925395965576,1.6276881694793701,1.000237226486206,0.03429797291755676,0.21740809082984924,0.2185717523097992
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,5,33,5,dog,1.7894114255905151,0.8055408596992493,0.9838705658912659,0.033736761659383774,3.313105583190918,3.109888792037964
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,6,178,5,dog,3.687844753265381,2.735473394393921,0.95237135887146,0.03265665844082832,1.7956280708312988,1.7289608716964722
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,7,746,6,frog,3.8814265727996826,2.9487812519073486,0.932645320892334,0.031980257481336594,0.6232004761695862,0.541681706905365
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,8,658,4,deer,1.4304982423782349,0.5403938293457031,0.8901044130325317,0.030521534383296967,0.01322011649608612,-0.05693501979112625
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,9,684,9,truck,2.090230941772461,1.202622652053833,0.8876082897186279,0.030435943976044655,2.9205830097198486,2.586589813232422
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,10,797,4,deer,2.3554446697235107,1.4760339260101318,0.8794107437133789,0.030154850333929062,0.32662588357925415,0.22448964416980743
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,11,525,5,dog,3.9770734310150146,3.1090099811553955,0.8680634498596191,0.02976575493812561,0.6945846676826477,0.5227218270301819
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,12,964,6,frog,2.6248180866241455,1.7683714628219604,0.8564466238021851,0.029367415234446526,0.6833507418632507,0.6563774943351746
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,13,221,6,frog,3.12715744972229,2.276883125305176,0.8502743244171143,0.02915576845407486,0.0824560895562172,0.020085593685507774
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,14,224,3,cat,1.3796100616455078,0.5637477040290833,0.8158623576164246,0.027975786477327347,1.272003412246704,1.1100186109542847
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,15,599,3,cat,2.4699418544769287,1.6751214265823364,0.7948204278945923,0.027254262939095497,0.8766420483589172,0.8646222949028015
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,16,431,5,dog,2.6327364444732666,1.8493326902389526,0.783403754234314,0.02686278708279133,0.2775007486343384,0.2635076344013214
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,17,356,3,cat,3.1306753158569336,2.356553554534912,0.7741217613220215,0.026544509455561638,-0.17466910183429718,-0.1778775155544281
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,18,971,4,deer,2.6747100353240967,1.9123245477676392,0.7623854875564575,0.026142073795199394,1.026921033859253,1.0014630556106567
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,19,702,4,deer,2.680812358856201,1.9220443964004517,0.7587679624557495,0.02601802907884121,-0.13942788541316986,-0.15241524577140808
110,before_exclusive_deleted,0.5171449184417725,0.03428983688354492,0.1482107788324356,20,127,3,cat,2.122053861618042,1.3640403747558594,0.7580134868621826,0.02599215880036354,0.33460327982902527,0.3566530644893646
146,before_exclusive_deleted,0.5113024711608887,0.022604942321777344,0.22099032998085022,1,720,4,deer,0.8376079201698303,2.1986281871795654,1.3610203266143799,0.03076578676700592,1.952133297920227,1.6239866018295288
