Hessian unlearning summary across seeds:
  clip_weighted_coverage: mean=0.2062, variance=0.016945
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.2800, variance=0.025600
  feature_overlap@10: mean=0.4800, variance=0.017600


Hessian unlearning summary across seeds:
Ratio: 0.05
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5578, variance=0.000001
  mia_acc_before: mean=0.6699, variance=0.000139
  mia_acc_after: mean=0.6702, variance=0.000088
  feature_vote_precision: mean=0.0000, variance=0.000000
  feature_vote_recall: mean=0.0000, variance=0.000000
  feature_vote_overlap: mean=0.0000, variance=0.000000
  delta_z_precision: mean=0.0400, variance=0.006400
  delta_z_recall: mean=0.0400, variance=0.006400
  delta_z_overlap: mean=0.0400, variance=0.006400
  confidence_drop_precision: mean=0.0000, variance=0.000000
  confidence_drop_recall: mean=0.0000, variance=0.000000
  confidence_drop_overlap: mean=0.0000, variance=0.000000
  hybrid_precision: mean=0.0000, variance=0.000000
  hybrid_recall: mean=0.0000, variance=0.000000
  hybrid_overlap: mean=0.0000, variance=0.000000
  ulia_known_k_precision: mean=0.0800, variance=0.009600
  ulia_known_k_recall: mean=0.0800, variance=0.009600
  ulia_known_k_overlap: mean=0.0800, variance=0.009600
  ulia_dynamic_precision: mean=0.0800, variance=0.009600
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.7110, variance=0.014053
  target_label_feature_coverage: mean=0.5600, variance=0.054400
  clip_concept_coverage: mean=0.2000, variance=0.016000
  clip_concept_precision: mean=0.0480, variance=0.000927
  clip_weighted_coverage: mean=0.1749, variance=0.013604
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.4000, variance=0.032000
  feature_overlap@10: mean=0.5200, variance=0.005600


FL retraining summary across seeds:
Ratio: 0.01
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.4286, variance=0.043827
  mia_acc_before: mean=0.6665, variance=0.000057
  mia_acc_after: mean=0.6387, variance=0.005063
  feature_vote_precision: mean=0.0800, variance=0.009600
  feature_vote_recall: mean=0.0800, variance=0.009600
  feature_vote_overlap: mean=0.0800, variance=0.009600
  delta_z_precision: mean=0.2800, variance=0.137600
  delta_z_recall: mean=0.2800, variance=0.137600
  delta_z_overlap: mean=0.2800, variance=0.137600
  confidence_drop_precision: mean=0.2000, variance=0.160000
  confidence_drop_recall: mean=0.2000, variance=0.160000
  confidence_drop_overlap: mean=0.2000, variance=0.160000
  hybrid_precision: mean=0.2800, variance=0.137600
  hybrid_recall: mean=0.2800, variance=0.137600
  hybrid_overlap: mean=0.2800, variance=0.137600
  ulia_known_k_precision: mean=0.2800, variance=0.137600
  ulia_known_k_recall: mean=0.2800, variance=0.137600
  ulia_known_k_overlap: mean=0.2800, variance=0.137600
  ulia_dynamic_precision: mean=0.2800, variance=0.137600
  ulia_dynamic_recall: mean=0.1200, variance=0.009600
  ulia_dynamic_overlap: mean=0.1200, variance=0.009600
  before_exclusive_strength_ratio: mean=0.4389, variance=0.049872
  target_label_feature_coverage: mean=0.4400, variance=0.070400
  clip_concept_coverage: mean=0.2000, variance=0.016000
  clip_concept_precision: mean=0.0546, variance=0.000956
  clip_weighted_coverage: mean=0.1881, variance=0.013756
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.6000, variance=0.048000
  feature_overlap@10: mean=0.6600, variance=0.030400

FL retraining summary across seeds:
Ratio: 0.02
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.3215, variance=0.064688
  mia_acc_before: mean=0.6765, variance=0.000087
  mia_acc_after: mean=0.6080, variance=0.007800
  feature_vote_precision: mean=0.0000, variance=0.000000
  feature_vote_recall: mean=0.0000, variance=0.000000
  feature_vote_overlap: mean=0.0000, variance=0.000000
  delta_z_precision: mean=0.4000, variance=0.240000
  delta_z_recall: mean=0.4000, variance=0.240000
  delta_z_overlap: mean=0.4000, variance=0.240000
  confidence_drop_precision: mean=0.4000, variance=0.240000
  confidence_drop_recall: mean=0.4000, variance=0.240000
  confidence_drop_overlap: mean=0.4000, variance=0.240000
  hybrid_precision: mean=0.4000, variance=0.240000
  hybrid_recall: mean=0.4000, variance=0.240000
  hybrid_overlap: mean=0.4000, variance=0.240000
  ulia_known_k_precision: mean=0.4800, variance=0.185600
  ulia_known_k_recall: mean=0.4800, variance=0.185600
