RFU summary across seeds:
Clients: 1
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.6800, variance=0.009600
  feature_overlap@10: mean=0.6800, variance=0.009600


RFU summary across seeds:
Clients: 5
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8265, variance=0.000014
  mia_acc_before: mean=0.5849, variance=0.000048
  mia_acc_after: mean=0.5783, variance=0.000007
  feature_vote_precision: mean=0.4800, variance=0.009600
  feature_vote_recall: mean=0.4800, variance=0.009600
  feature_vote_overlap: mean=0.4800, variance=0.009600
  delta_z_precision: mean=1.0000, variance=0.000000
  delta_z_recall: mean=1.0000, variance=0.000000
  delta_z_overlap: mean=1.0000, variance=0.000000
  confidence_drop_precision: mean=1.0000, variance=0.000000
  confidence_drop_recall: mean=1.0000, variance=0.000000
  confidence_drop_overlap: mean=1.0000, variance=0.000000
  hybrid_precision: mean=0.6800, variance=0.041600
  hybrid_recall: mean=0.6800, variance=0.041600
  hybrid_overlap: mean=0.6800, variance=0.041600
  ulia_known_k_precision: mean=0.4000, variance=0.000000
  ulia_known_k_recall: mean=0.4000, variance=0.000000
  ulia_known_k_overlap: mean=0.4000, variance=0.000000
  ulia_dynamic_precision: mean=0.4333, variance=0.151111
  ulia_dynamic_recall: mean=0.1600, variance=0.022400
  ulia_dynamic_overlap: mean=0.1600, variance=0.022400
  before_exclusive_strength_ratio: mean=0.3874, variance=0.023287
  target_label_feature_coverage: mean=0.9200, variance=0.009600
  clip_concept_coverage: mean=0.6400, variance=0.022400
  clip_concept_precision: mean=0.5289, variance=0.003091
  clip_weighted_coverage: mean=0.5927, variance=0.020916
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6800, variance=0.009600
  feature_overlap@10: mean=0.7800, variance=0.009600


