

Hessian unlearning summary across seeds:
  clip_weighted_coverage: mean=0.6449, variance=0.033437
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6000, variance=0.048000
  feature_overlap@10: mean=0.6600, variance=0.018400


Hessian unlearning summary across seeds:
Ratio: 0.05
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8701, variance=0.000002
  mia_acc_before: mean=0.5823, variance=0.000032
  mia_acc_after: mean=0.5788, variance=0.000153
  feature_vote_precision: mean=0.5600, variance=0.022400
  feature_vote_recall: mean=0.5600, variance=0.022400
  feature_vote_overlap: mean=0.5600, variance=0.022400
  delta_z_precision: mean=0.4800, variance=0.041600
  delta_z_recall: mean=0.4800, variance=0.041600
  delta_z_overlap: mean=0.4800, variance=0.041600
  confidence_drop_precision: mean=0.6400, variance=0.022400
  confidence_drop_recall: mean=0.6400, variance=0.022400
  confidence_drop_overlap: mean=0.6400, variance=0.022400
  hybrid_precision: mean=0.6400, variance=0.006400
  hybrid_recall: mean=0.6400, variance=0.006400
  hybrid_overlap: mean=0.6400, variance=0.006400
  ulia_known_k_precision: mean=0.5200, variance=0.009600
  ulia_known_k_recall: mean=0.5200, variance=0.009600
  ulia_known_k_overlap: mean=0.5200, variance=0.009600
  ulia_dynamic_precision: mean=0.9000, variance=0.040000
  ulia_dynamic_recall: mean=0.2800, variance=0.009600
  ulia_dynamic_overlap: mean=0.2800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.5178, variance=0.034152
  target_label_feature_coverage: mean=1.0000, variance=0.000000
  clip_concept_coverage: mean=0.8800, variance=0.009600
  clip_concept_precision: mean=0.5944, variance=0.004198
  clip_weighted_coverage: mean=0.7817, variance=0.005611
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.4800, variance=0.025600
  feature_overlap@10: mean=0.6400, variance=0.010400




RFU summary across seeds:
Ratio: 0.01
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8688, variance=0.000001
