method,range,acc_after,acc_after_std,acc_after_variance,acc_before,acc_before_std,acc_before_variance,before_exclusive_strength_ratio,before_exclusive_strength_ratio_std,before_exclusive_strength_ratio_variance,clip_concept_coverage,clip_concept_coverage_std,clip_concept_coverage_variance,clip_concept_precision,clip_concept_precision_std,clip_concept_precision_variance,confidence_drop_overlap,confidence_drop_overlap_std,confidence_drop_overlap_variance,confidence_drop_precision,confidence_drop_precision_std,confidence_drop_precision_variance,confidence_drop_recall,confidence_drop_recall_std,confidence_drop_recall_variance,delta_z_overlap,delta_z_overlap_std,delta_z_overlap_variance,delta_z_precision,delta_z_precision_std,delta_z_precision_variance,delta_z_recall,delta_z_recall_std,delta_z_recall_variance,feature_overlap@1,feature_overlap@1_std,feature_overlap@1_variance,feature_overlap@10,feature_overlap@10_std,feature_overlap@10_variance,feature_overlap@5,feature_overlap@5_std,feature_overlap@5_variance,feature_vote_overlap,feature_vote_overlap_std,feature_vote_overlap_variance,feature_vote_precision,feature_vote_precision_std,feature_vote_precision_variance,feature_vote_recall,feature_vote_recall_std,feature_vote_recall_variance,mia_acc_after,mia_acc_after_std,mia_acc_after_variance,mia_acc_before,mia_acc_before_std,mia_acc_before_variance,target_label_feature_coverage,target_label_feature_coverage_std,target_label_feature_coverage_variance,ulia_dynamic_overlap,ulia_dynamic_overlap_std,ulia_dynamic_overlap_variance,ulia_dynamic_precision,ulia_dynamic_precision_std,ulia_dynamic_precision_variance,ulia_dynamic_recall,ulia_dynamic_recall_std,ulia_dynamic_recall_variance,ulia_known_k_overlap,ulia_known_k_overlap_std,ulia_known_k_overlap_variance,ulia_known_k_precision,ulia_known_k_precision_std,ulia_known_k_precision_variance,ulia_known_k_recall,ulia_known_k_recall_std,ulia_known_k_recall_variance
RFU,1,0.5205,0.0037416573867739412,1.4e-05,0.5545,0.0,0.0,0.8228,0.07463243262818116,0.00557,1.0,0.0,0.0,0.0866,0.03519943181359608,0.001239,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.4,0.16,0.2,0.4,0.16,0.2,0.4,0.16,0.4,0.4898979485566356,0.24,0.48,0.07483314773547883,0.0056,0.28,0.09797958971132711,0.0096,0.2,0.4,0.16,0.2,0.4,0.16,0.2,0.4,0.16,0.6595,0.008426149773176359,7.1e-05,0.6677,0.0052915026221291815,2.8e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
RFU,3,0.5096,0.003872983346207417,1.5e-05,0.5545,0.0,0.0,1.0,0.0,0.0,0.6667,0.21081745658270332,0.044444,0.0933,0.024939927826679854,0.000622,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.5333,0.16330033680308195,0.026667,0.5333,0.16330033680308195,0.026667,0.5333,0.16330033680308195,0.026667,0.0,0.0,0.0,0.46,0.12,0.0144,0.44,0.233238075793812,0.0544,0.4,0.24944338034912852,0.062222,0.4,0.24944338034912852,0.062222,0.4,0.24944338034912852,0.062222,0.6613,0.0058309518948453,3.4e-05,0.6707,0.007681145747868608,5.9e-05,0.6667,0.21081745658270332,0.044444,0.8667,0.16330033680308195,0.026667,0.8667,0.16330033680308195,0.026667,0.8667,0.16330033680308195,0.026667,0.8667,0.16330033680308195,0.026667,0.8667,0.16330033680308195,0.026667,0.8667,0.16330033680308195,0.026667
RFU,5,0.5217,0.005744562646538029,3.3e-05,0.5545,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.1067,0.024939927826679854,0.000622,0.8,0.12649110640673517,0.016,0.8,0.12649110640673517,0.016,0.8,0.12649110640673517,0.016,0.44,0.14966629547095767,0.0224,0.44,0.14966629547095767,0.0224,0.44,0.14966629547095767,0.0224,0.4,0.4898979485566356,0.24,0.38,0.07483314773547883,0.0056,0.48,0.09797958971132711,0.0096,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.6527,0.0043588989435406735,1.9e-05,0.6699,0.006403124237432849,4.1e-05,0.56,0.08,0.0064,0.76,0.233238075793812,0.0544,0.76,0.233238075793812,0.0544,0.76,0.233238075793812,0.0544,0.76,0.233238075793812,0.0544,0.76,0.233238075793812,0.0544,0.76,0.233238075793812,0.0544
RFU,7,0.5243,0.0034641016151377548,1.2e-05,0.5545,0.0,0.0,0.9646,0.0433589667773576,0.00188,0.4,0.16659831931925365,0.027755,0.1526,0.058111960903070546,0.003377,0.8571,0.09034932207825358,0.008163,0.8571,0.09034932207825358,0.008163,0.8571,0.09034932207825358,0.008163,0.6571,0.06998571282769077,0.004898,0.6571,0.06998571282769077,0.004898,0.6571,0.06998571282769077,0.004898,0.4,0.4898979485566356,0.24,0.54,0.16248076809271922,0.0264,0.44,0.14966629547095767,0.0224,0.2857,0.09034932207825358,0.008163,0.2857,0.09034932207825358,0.008163,0.2857,0.09034932207825358,0.008163,0.6582,0.005567764362830022,3.1e-05,0.6699,0.003,9e-06,0.5429,0.18952044744565164,0.035918,0.8286,0.16659831931925365,0.027755,0.8286,0.16659831931925365,0.027755,0.8286,0.16659831931925365,0.027755,0.8286,0.16659831931925365,0.027755,0.8286,0.16659831931925365,0.027755,0.8286,0.16659831931925365,0.027755
RFU,9,0.3194,0.25262224763468477,0.063818,0.5545,0.0,0.0,0.5318,0.44011702989091434,0.193703,0.2556,0.2154530111184339,0.04642,0.1085,0.08891569040388766,0.007906,0.7556,0.2154530111184339,0.04642,0.7556,0.2154530111184339,0.04642,0.7667,0.2,0.04,0.7556,0.2154530111184339,0.04642,0.7556,0.2154530111184339,0.04642,0.7722,0.2111113450291102,0.044568,0.6,0.4898979485566356,0.24,0.76,0.20591260281974,0.0424,0.76,0.233238075793812,0.0544,0.2667,0.21773148600971795,0.047407,0.2667,0.21773148600971795,0.047407,0.2778,0.22771034232111637,0.051852,0.5935,0.0767984374841051,0.005898,0.6711,0.007,4.9e-05,0.3472,0.2931842424142198,0.085957,0.5111,0.32659914268105483,0.106667,0.8667,0.10886689120205463,0.011852,0.5306,0.34430945383477346,0.118549,0.8667,0.10886689120205463,0.011852,0.8667,0.10886689120205463,0.011852,0.8861,0.0995339138183564,0.009907
Hessian,1,0.5581,0.0017320508075688774,3e-06,0.5545,0.0,0.0,0.5759,0.16886681142249355,0.028516,0.4,0.4898979485566356,0.24,0.0217,0.027694764848252458,0.000767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.08,0.0064,0.2,0.17888543819998318,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644,0.004,1.6e-05,0.6657,0.004898979485566357,2.4e-05,0.6,0.4898979485566356,0.24,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Hessian,3,0.558,0.0017320508075688774,3e-06,0.5545,0.0,0.0,0.6218,0.220281637909291,0.048524,0.1333,0.16330033680308195,0.026667,0.0229,0.028635642126552705,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.132664991614216,0.0176,0.08,0.09797958971132711,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656,0.010392304845413263,0.000108,0.6678,0.006,3.6e-05,0.5333,0.16330033680308195,0.026667,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778
Hessian,5,0.5581,0.002,4e-06,0.5545,0.0,0.0,0.7063,0.1925123372669918,0.037061,0.28,0.09797958971132711,0.0096,0.0731,0.020199009876724155,0.000408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0064,0.04,0.08,0.0064,0.04,0.08,0.0064,0.2,0.4,0.16,0.38,0.07483314773547883,0.0056,0.32,0.09797958971132711,0.0096,0.08,0.09797958971132711,0.0096,0.08,0.09797958971132711,0.0096,0.08,0.09797958971132711,0.0096,0.6628,0.005567764362830022,3.1e-05,0.6671,0.005916079783099616,3.5e-05,0.52,0.16,0.0256,0.16,0.08,0.0064,0.16,0.08,0.0064,0.16,0.08,0.0064,0.16,0.08,0.0064,0.16,0.08,0.0064,0.16,0.08,0.0064
Hessian,7,0.558,0.0017320508075688774,3e-06,0.5545,0.0,0.0,0.5992,0.22582736769488326,0.050998,0.0571,0.06998571282769077,0.004898,0.0286,0.03809199390948182,0.001451,0.0286,0.05714017850864661,0.003265,0.0286,0.05714017850864661,0.003265,0.0286,0.05714017850864661,0.003265,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.2,0.4,0.16,0.54,0.1019803902718557,0.0104,0.48,0.16,0.0256,0.0571,0.06998571282769077,0.004898,0.0571,0.06998571282769077,0.004898,0.0571,0.06998571282769077,0.004898,0.6702,0.007416198487095663,5.5e-05,0.67,0.0066332495807108,4.4e-05,0.4286,0.0,0.0,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898
Hessian,9,0.5582,0.001414213562373095,2e-06,0.5545,0.0,0.0,0.5923,0.2761159176867571,0.07624,0.0667,0.08888756943465155,0.007901,0.0369,0.05538050198400155,0.003067,0.0667,0.054433445601027315,0.002963,0.0667,0.054433445601027315,0.002963,0.0667,0.054433445601027315,0.002963,0.0222,0.04444097208657795,0.001975,0.0222,0.04444097208657795,0.001975,0.0222,0.04444097208657795,0.001975,0.0,0.0,0.0,0.56,0.13564659966250536,0.0184,0.44,0.14966629547095767,0.0224,0.0222,0.04444097208657795,0.001975,0.0222,0.04444097208657795,0.001975,0.0222,0.04444097208657795,0.001975,0.664,0.007615773105863908,5.8e-05,0.6692,0.003605551275463989,1.3e-05,0.5472,0.09111531155629113,0.008302,0.2,0.08315046602394961,0.006914,0.2,0.08315046602394961,0.006914,0.2028,0.08031811750782011,0.006451,0.2,0.08315046602394961,0.006914,0.2,0.08315046602394961,0.006914,0.2028,0.08031811750782011,0.006451
